Type	Score	Reason for death	Moves	Snake Length	Turns
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	1
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
